structure,time_it0,time_it1,time_itw
3J95,16.2305,4491.2302,222.5062
3J96,36.5774,11120.4014,615.4274
5GRS,18.0902,10698.1046,509.2396
5HNY,6.4540,4271.7956,187.5865
5WCB,16.9684,21993.4395,
6ACG,27.8578,,
6AHF,24.0343,5350.6276,296.6519
6C06,5.4012,,
6C3P,52.9909,35849.3151,1735.2422
6ENY,8.8896,8816.9346,399.5323
6IRF,17.8123,17881.7676,
6N1Q,20.6469,16413.8187,670.5271
6N7G,28.3107,27184.2214,1263.2060
6N8T,28.8486,9463.5943,472.5702
6N8Z,22.6736,8065.6458,416.0597
6R7I,32.8660,30209.0085,1409.5327
6UBY,3.0915,,
6UC0,3.0365,,
