structure,time_it0,time_it1,time_itw
3J95,13.9539,1638.8839,98.0961
3J96,34.1378,8669.1891,462.2257
5GRS,14.6668,2007.0369,117.9091
5HNY,4.6893,490.7154,24.5823
5WCB,7.6448,803.1219,45.4521
6ACG,16.7944,2288.1831,127.9785
6AHF,21.8527,3336.8227,181.4804
6C06,18.7472,1648.5704,
6C3P,43.3144,7941.2917,500.6309
6ENY,6.3690,251.7607,
6IRF,13.6149,1741.0533,103.2773
6N1Q,17.9053,2918.2784,174.2995
6N7G,19.4400,3161.8823,169.8462
6N8T,27.0819,4383.2716,
6N8Z,21.0688,3547.4407,180.3886
6R7I,23.7194,5022.2275,256.8050
6UBY,11.4283,1629.2333,99.3459
6UC0,12.4911,1734.6803,110.4592
