structure,HADDOCK-score,correlation,atomic-clashes
6AHF_10.pdb,-2278.6808,0.8732
6AHF_11.pdb,-1970.8957,0.8728
6AHF_12.pdb,-805.9226,0.866
6AHF_13.pdb,-2105.2639,0.8735
6AHF_14.pdb,-2581.001,0.8772
6AHF_15.pdb,-2458.9343,0.8828
6AHF_16.pdb,-2340.8412,0.8772
6AHF_17.pdb,-2383.8328,0.8749
6AHF_18.pdb,-2105.1365,0.8783
6AHF_19.pdb,-2582.1916,0.8811
6AHF_1.pdb,-2369.6642,0.8848
6AHF_20.pdb,-2335.2711,0.8765
6AHF_21.pdb,-2243.7826,0.8779
6AHF_22.pdb,-2480.1735,0.8823
6AHF_23.pdb,-2342.3211,0.884
6AHF_24.pdb,-2491.1886,0.8827
6AHF_25.pdb,-2331.202,0.8839
6AHF_26.pdb,-2247.99,0.8739
6AHF_27.pdb,-2028.1983,0.8717
6AHF_28.pdb,-2305.5379,0.8798
6AHF_29.pdb,-2217.9433,0.88
6AHF_2.pdb,-2081.4199,0.8742
6AHF_30.pdb,-2456.699,0.883
6AHF_31.pdb,-2406.3008,0.876
6AHF_32.pdb,-2208.6179,0.8715
6AHF_33.pdb,-858.2105,0.866
6AHF_34.pdb,-1990.8339,0.8745
6AHF_35.pdb,-2403.001,0.8742
6AHF_36.pdb,-2323.6404,0.8805
6AHF_37.pdb,-2148.7243,0.8784
6AHF_38.pdb,-2555.1686,0.8779
6AHF_39.pdb,-2349.24,0.8848
6AHF_3.pdb,-2093.1089,0.8609
6AHF_40.pdb,-2223.6756,0.8763
6AHF_41.pdb,-2626.6033,0.8863
6AHF_42.pdb,-2368.1097,0.8792
6AHF_43.pdb,-2378.0259,0.8798
6AHF_44.pdb,-2336.0983,0.88
6AHF_45.pdb,-2364.8315,0.8767
6AHF_46.pdb,-2455.011,0.876
6AHF_47.pdb,-2540.4177,0.8837
6AHF_48.pdb,-2074.2865,0.8697
6AHF_49.pdb,-2430.0985,0.8777
6AHF_4.pdb,-2218.2077,0.8787
6AHF_50.pdb,-2254.9277,0.8787
6AHF_5.pdb,-2256.1635,0.8812
6AHF_6.pdb,-2383.1629,0.8764
6AHF_7.pdb,-2217.0986,0.8737
6AHF_8.pdb,-2199.1571,0.8845
6AHF_9.pdb,-2434.0141,0.8782
