structure,time_it0,time_it1,time_itw
3J95,13.5699,2033.8178,125.5489
3J96,29.5775,12978.1770,511.5602
5GRS,13.3610,3085.7719,169.4712
5HNY,4.5703,538.9861,31.4712
5WCB,7.3879,1008.2867,78.6210
6ACG,15.4846,2601.3035,147.2756
6AHF,23.7994,3955.8946,192.6127
6C06,,1724.1929,
6C3P,47.1168,18049.5061,494.3019
6ENY,7.1119,1107.6906,64.3552
6IRF,14.9187,2242.1101,158.6459
6N1Q,22.2366,4440.9269,180.6185
6N7G,30.0354,6618.7918,178.0739
6N8T,34.2778,326.3084,316.7099
6N8Z,25.6741,4434.3949,264.1348
6R7I,19.7370,4358.3404,248.1123
6UBY,10.1515,1756.2240,94.6406
6UC0,10.9893,1699.5386,114.2996
